date,portfolio_value,cash,positions_value
95,100334.80597426681,80250.00244632087,20084.803527945944
96,100589.38215543631,80250.00244632087,20339.37970911544
97,100380.37825361197,80250.00244632087,20130.3758072911
98,100254.66162093569,80250.00244632087,20004.65917461482
99,100240.5184997596,80250.00244632087,19990.516053438725
100,101631.25874874106,80250.00244632087,21381.256302420195
101,100575.23903426023,80250.00244632087,20325.236587939362
102,100623.95422942229,80250.00244632087,20373.951783101424
103,100653.81192968291,80250.00244632087,20403.80948336204
104,100804.67188889446,80250.00244632087,20554.66944257359
105,100859.67291569033,80250.00244632087,20609.670469369463
106,100759.0996095493,80250.00244632087,20509.097163228435
107,101148.8211708458,80250.00244632087,20898.81872452493
108,101227.39406626849,80250.00244632087,20977.391619947623
109,100991.67538000044,80250.00244632087,20741.67293367957
110,100820.386467979,80250.00244632087,20570.38402165813
111,100820.386467979,80250.00244632087,20570.38402165813
112,100938.24581111301,80250.00244632087,20688.243364792143
113,100985.38954836663,80250.00244632087,20735.38710204576
114,101024.67599607796,80250.00244632087,20774.67354975709
115,100620.81131360537,80250.00244632087,20370.808867284504
116,100490.38030720373,80250.00244632087,20240.377860882858
117,100512.52686350756,100512.52686350756,0.0
118,100512.52686350756,100512.52686350756,0.0
119,100512.52686350756,100512.52686350756,0.0
120,100512.52686350756,100512.52686350756,0.0
121,100512.52686350756,100512.52686350756,0.0
122,100512.52686350756,100512.52686350756,0.0
123,100512.52686350756,100512.52686350756,0.0
124,100492.42435813487,80389.91898543335,20102.50537270152
125,100443.6133579128,80389.91898543335,20053.694372479455
126,100536.6593270861,80389.91898543335,20146.740341652752
127,100385.65029514913,80389.91898543335,19995.731309715775
128,100326.1618886285,80389.91898543335,19936.242903195147
129,100219.38782564276,80389.91898543335,19829.468840209403
130,100222.43851315664,80389.91898543335,19832.519527723285
131,100251.36818285074,100251.36818285074,0.0
132,100251.36818285074,100251.36818285074,0.0
133,100251.36818285074,100251.36818285074,0.0
134,100251.36818285074,100251.36818285074,0.0
135,100251.36818285074,100251.36818285074,0.0
136,100251.36818285074,100251.36818285074,0.0
137,100251.36818285074,100251.36818285074,0.0
138,100251.36818285074,100251.36818285074,0.0
139,100251.36818285074,100251.36818285074,0.0
140,100251.36818285074,100251.36818285074,0.0
141,100251.36818285074,100251.36818285074,0.0
142,100251.36818285074,100251.36818285074,0.0
143,100251.36818285074,100251.36818285074,0.0
144,100251.36818285074,100251.36818285074,0.0
145,100251.36818285074,100251.36818285074,0.0
146,100251.36818285074,100251.36818285074,0.0
147,100251.36818285074,100251.36818285074,0.0
148,100251.36818285074,100251.36818285074,0.0
149,100251.36818285074,100251.36818285074,0.0
150,100251.36818285074,100251.36818285074,0.0
151,100251.36818285074,100251.36818285074,0.0
152,100251.36818285074,100251.36818285074,0.0
153,100251.36818285074,100251.36818285074,0.0
154,100251.36818285074,100251.36818285074,0.0
155,100251.36818285074,100251.36818285074,0.0
156,100231.31790921418,80181.04427264402,20050.273636570157
157,100405.23983451797,80181.04427264402,20224.195561873945
158,100392.92677785928,80181.04427264402,20211.882505215253
159,100436.02247616465,80181.04427264402,20254.97820352063
160,100476.03991030534,80181.04427264402,20294.99563766131
161,100542.22258984573,80181.04427264402,20361.178317201702
162,100559.1530427514,80181.04427264402,20378.10877010737
163,100620.71832604478,80181.04427264402,20439.674053400755
164,100706.9097226555,80181.04427264402,20525.86545001148
165,100426.78768367064,80181.04427264402,20245.74341102662
166,100332.90062664825,80181.04427264402,20151.856354004223
167,100359.06587204793,80181.04427264402,20178.021599403903
168,100331.3614945659,80181.04427264402,20150.317221921883
169,100129.7351917801,80181.04427264402,19948.690919136076
170,100097.41341805109,80181.04427264402,19916.369145407065
