date,total_value,cash,positions_value
2025-03-02 19:00:00,100163.9579313995,79878.22920457102,20285.728726828485
2025-03-02 23:00:00,101582.4738283007,79878.22920457102,21704.244623729683
2025-03-03 03:00:00,101754.190131868,79878.22920457102,21875.960927296983
2025-03-03 07:00:00,101388.48081508142,79878.22920457102,21510.2516105104
2025-03-03 11:00:00,101310.7443803584,79878.22920457102,21432.515175787383
2025-03-03 15:00:00,101392.19360002343,79878.22920457102,21513.964395452407
2025-03-03 19:00:00,100760.09196364868,79878.22920457102,20881.86275907766
2025-03-03 23:00:00,99726.77750447951,79878.22920457102,19848.548299908492
2025-03-04 03:00:00,99871.57611721735,79878.22920457102,19993.34691264633
2025-03-04 07:00:00,99351.78622533797,79878.22920457102,19473.55702076695
2025-03-04 11:00:00,99171.25205753342,79878.22920457102,19293.0228529624
2025-03-04 15:00:00,99349.6977838081,79878.22920457102,19471.468579237073
2025-03-04 19:00:00,99120.20126458099,79878.22920457102,19241.972060009968
2025-03-04 23:00:00,100349.82922755816,79878.22920457102,20471.600022987142
2025-03-05 03:00:00,100122.18910080206,79878.22920457102,20243.95989623104
2025-03-05 07:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-05 11:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-05 15:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-05 19:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-05 23:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-06 03:00:00,99991.83206124329,99991.83206124329,0.0
2025-03-06 07:00:00,99971.83369483103,79973.46728258238,19998.36641224865
2025-03-06 11:00:00,99923.78327478479,79973.46728258238,19950.315992202406
2025-03-06 15:00:00,99922.90963078395,79973.46728258238,19949.44234820157
2025-03-06 19:00:00,99815.45141868052,79973.46728258238,19841.984136098137
2025-03-06 23:00:00,99305.46173318964,79973.46728258238,19331.994450607264
2025-03-07 03:00:00,99612.54759948522,79973.46728258238,19639.080316902837
2025-03-07 07:00:00,98968.23514886506,79973.46728258238,18994.76786628268
2025-03-07 11:00:00,99270.73438415623,79973.46728258238,19297.267101573845
2025-03-07 15:00:00,99402.6546282832,79973.46728258238,19429.18734570082
2025-03-07 19:00:00,99292.79389517746,79973.46728258238,19319.326612595076
2025-03-07 23:00:00,99143.83759303408,79973.46728258238,19170.370310451704
2025-03-08 03:00:00,98922.58724982112,79973.46728258238,18949.119967238745
2025-03-08 07:00:00,98734.31696763991,79973.46728258238,18760.849685057532
2025-03-08 11:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-08 15:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-08 19:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-08 23:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 03:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 07:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 11:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 15:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 19:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-09 23:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-10 03:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-10 07:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-10 11:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-10 15:00:00,98777.08642811209,98777.08642811209,0.0
